id,name,category,has_image,image_url
68,Beetroot Powder,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Beetroot Powder.jpg
66,Curry Leaves,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Curry Leaves.jpg
64,Garlic Powder,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Garlic Powder.jpg
69,Ginger Powder,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Ginger Powder.jpg
67,Lemon Powder,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Lemon Powder.jpeg
63,Onion Flakes,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Onion Flakes.jpeg
65,Tomato Powder,Dehydrated Foods,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Dehydrated Foods/Tomato Powder.jpg
39,Almonds,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Almonds.jpg
97,Almonds,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Almonds.jpg
38,Cashew,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Cashew.jpg
98,Cashews,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Cashew.jpg
41,Raisins,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Raisins.jpg
40,Walnuts,Dry Fruits,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/dry fruits/Walnuts.jpg
81,Agro Grow Mats,Eco & Agro Products,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Eco & Agro Products/Agro Grow Mats.jpeg
78,Coir Mats,Eco & Agro Products,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Eco & Agro Products/Coir Mats.jpeg
77,Jute Bags,Eco & Agro Products,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Eco & Agro Products/Jute Bags.jpg
80,Jute Carpets,Eco & Agro Products,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Eco & Agro Products/Jute Carpets.jpg
79,Ropes,Eco & Agro Products,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Eco & Agro Products/Ropes.jpg
49,Coffee,Gourmet,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/gourment/Coffee.jpg
51,Olive Oil,Gourmet,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/gourment/Olive Oil.jpg
50,Tea,Gourmet,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/gourment/Tea.jpg
99,Basmati Rice,Grains,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Rice/Basmati Rice.jpg
89,Bathroom Fittings,Hardware Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Hardware/Bathroom Fittings.jpeg
87,Door Handles,Hardware Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Hardware/Door Handles.jpg
86,Hinges,Hardware Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Hardware/Hinge.JPG
88,Pipes,Hardware Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Hardware/Pipes.jpeg
83,Belts,Leather Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Leather Exports/Belts.jpeg
84,Gloves,Leather Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New+folder/gl.jpeg.jpg
85,Industrial Shoes,Leather Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Leather Exports/Industrial Shoes.jpg
82,Wallets,Leather Exports,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/Leather Exports/Wallets.jpeg
4,Barnyard Millet (Sanwa / Kuthiraivali),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Barnyard-kuthiraivali-millet-450x450.jpg
7,Browntop Millet (Korale / Andu Korralu),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Browntop Millet.jpg
1,Finger Millet (Ragi / Nachni),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Foxtail Millet.jpeg
2,Foxtail Millet (Kangni / Thinai),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Foxtail Millet.jpeg
5,Kodo Millet (Kodra / Arikelu),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Kodo Millet.png
3,Little Millet (Kutki / Sama),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/Little Millet.jpg
6,Pearl Millet (Bajra / Sajje),Organic Millets,yes,https://jgi-menteetrackers.s3.ap-south-1.amazonaws.com/Amber/New folder/organic millet/pearl millet.jpg
